City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,Naze,28.3667,129.4833,79.72,86,79,4.68,JP,2022-08-03 17:42:41
165,Acarau,-2.8856,-40.12,82.69,67,50,17.45,BR,2022-08-03 17:42:42
166,Vao,-22.6667,167.4833,71.24,83,26,15.59,NC,2022-08-03 17:42:42
167,Esperance,-33.8667,121.9,54.97,74,97,32.84,AU,2022-08-03 17:42:43
168,Ballina,-28.8667,153.5667,59.02,98,40,6.11,AU,2022-08-03 17:41:37
169,Soavinandriana,-19.1667,46.7333,55.96,69,87,5.61,MG,2022-08-03 17:42:44
170,Plettenberg Bay,-34.0527,23.3716,57.24,93,63,5.28,ZA,2022-08-03 17:42:45
171,Talnakh,69.4865,88.3972,52.21,62,51,5.75,RU,2022-08-03 17:42:46
172,Nicoya,10.1483,-85.452,80.89,77,95,1.12,CR,2022-08-03 17:42:46
173,Champasak,14.75,106.0,72.61,99,92,0.67,LA,2022-08-03 17:42:47
174,Sitka,57.0531,-135.33,53.49,100,20,0.0,US,2022-08-03 17:42:47
175,Mayumba,-3.432,10.6554,69.94,89,41,8.59,GA,2022-08-03 17:42:47
176,Auki,-8.7676,160.7034,75.81,89,15,5.19,SB,2022-08-03 17:43:48
177,Khrebtovaya,56.7032,104.2494,45.07,91,12,2.68,RU,2022-08-03 17:43:48
178,Narayanpet,16.7333,77.5,79.03,81,99,5.82,IN,2022-08-03 17:43:49
179,Boende,-0.2167,20.8667,76.5,76,86,2.19,CD,2022-08-03 17:43:53
180,Kungurtug,50.5994,97.5228,52.27,79,71,1.19,RU,2022-08-03 17:43:54
181,Lorengau,-2.0226,147.2712,81.34,80,92,8.79,PG,2022-08-03 17:43:54
182,Brignoles,43.4,6.0667,90.77,43,5,6.53,FR,2022-08-03 17:43:55
183,Asau,46.4333,26.4,74.32,63,48,2.39,RO,2022-08-03 17:43:55
184,Mangrol,21.1167,70.1167,82.29,81,91,6.93,IN,2022-08-03 17:43:56
185,Uruzgan,32.8333,66.0,78.94,18,0,4.34,AF,2022-08-03 17:43:56
186,Eureka,40.8021,-124.1637,62.92,85,25,1.99,US,2022-08-03 17:42:10
187,Baculin,7.4525,126.5842,77.61,86,88,5.46,PH,2022-08-03 17:43:57
188,Smithers,54.7804,-127.1743,53.92,82,20,2.3,CA,2022-08-03 17:43:57
189,Constitucion,-35.3333,-72.4167,54.3,57,80,10.18,CL,2022-08-03 17:43:58
190,Pevek,69.7008,170.3133,35.08,98,100,9.75,RU,2022-08-03 17:43:58
191,Mawlaik,23.6333,94.4167,76.21,99,99,1.45,MM,2022-08-03 17:43:59
192,Gornyak,50.9942,81.4661,59.74,54,33,7.45,RU,2022-08-03 17:43:59
193,Hofn,64.2539,-15.2082,53.62,50,40,24.16,IS,2022-08-03 17:44:00
194,Douglas,41.3,-96.167,94.39,53,0,0.0,US,2022-08-03 17:44:00
195,Saint-Denis,48.9167,2.3333,99.23,29,0,6.91,FR,2022-08-03 17:44:01
196,Chilliwack,49.1747,-121.9443,72.36,68,30,4.61,CA,2022-08-03 17:40:31
197,Bac Lieu,9.285,105.7244,78.78,88,100,6.51,VN,2022-08-03 17:43:21
198,Port Elizabeth,-33.918,25.5701,61.32,63,0,11.5,ZA,2022-08-03 17:44:02
199,Matsubase,32.65,130.6667,84.18,89,18,4.23,JP,2022-08-03 17:44:03
200,Yerbogachen,61.2767,108.0108,55.08,95,100,10.94,RU,2022-08-03 17:44:03
201,Tanete,-3.9443,119.7848,72.34,89,39,4.72,ID,2022-08-03 17:44:04
202,Saskylakh,71.9167,114.0833,44.15,68,100,9.13,RU,2022-08-03 17:44:05
203,Miles City,46.4083,-105.8406,83.37,26,0,12.66,US,2022-08-03 17:44:05
204,Pestretsy,55.7531,49.6545,71.74,70,87,4.32,RU,2022-08-03 17:44:06
205,Severo-Kurilsk,50.6789,156.125,51.37,87,67,7.92,RU,2022-08-03 17:44:06
206,Umba,66.6871,34.3429,56.1,74,16,10.09,RU,2022-08-03 17:44:07
207,Balkanabat,39.5108,54.3671,95.83,17,1,6.76,TM,2022-08-03 17:44:07
208,Arraial Do Cabo,-22.9661,-42.0278,76.96,69,20,11.5,BR,2022-08-03 17:44:08
209,Omsukchan,62.5333,155.8,50.61,96,99,6.38,RU,2022-08-03 17:44:08
210,Haines Junction,60.7522,-137.5108,53.55,94,100,2.3,CA,2022-08-03 17:44:09
211,Aktau,43.65,51.2,88.38,38,0,14.0,KZ,2022-08-03 17:44:09
212,Beringovskiy,63.05,179.3167,51.46,83,97,6.96,RU,2022-08-03 17:44:10
213,Clifton,40.8584,-74.1638,92.21,39,0,8.05,US,2022-08-03 17:44:10
214,Chimbote,-9.0853,-78.5783,66.78,75,18,11.43,PE,2022-08-03 17:44:11
215,Mirandopolis,-21.1336,-51.1017,92.07,20,0,6.11,BR,2022-08-03 17:44:11
216,Ahipara,-35.1667,173.1667,52.47,92,37,3.62,NZ,2022-08-03 17:44:12
217,Kavieng,-2.5744,150.7967,81.27,80,97,16.02,PG,2022-08-03 17:44:12
218,Vadlapudi,14.3167,79.8,82.4,73,100,4.56,IN,2022-08-03 17:44:13
219,Bull Savanna,17.8868,-77.5902,85.08,60,99,13.56,JM,2022-08-03 17:44:13
220,Basoko,1.2391,23.616,76.98,73,71,0.96,CD,2022-08-03 17:44:14
221,Mbandaka,0.0487,18.2603,74.7,75,52,0.45,CD,2022-08-03 17:44:14
222,Tiksi,71.6872,128.8694,39.9,85,92,6.49,RU,2022-08-03 17:45:15
223,Lazaro Cardenas,17.9583,-102.2,88.63,60,98,0.76,MX,2022-08-03 17:43:57
224,Sayyan,15.1718,44.3244,66.36,58,99,2.3,YE,2022-08-03 17:45:16
225,Qaqortoq,60.7167,-46.0333,51.96,65,100,2.48,GL,2022-08-03 17:45:16
226,Barstow,34.8986,-117.0228,93.16,30,98,5.39,US,2022-08-03 17:42:15
227,Sangar,63.9242,127.4739,57.81,98,24,0.92,RU,2022-08-03 17:45:17
228,Brejo,-3.6844,-42.7503,87.01,50,48,3.13,BR,2022-08-03 17:45:18
229,Hualmay,-11.0964,-77.6139,65.64,73,39,11.72,PE,2022-08-03 17:45:18
230,Misasi,-3.0,33.0833,74.37,45,97,2.37,TZ,2022-08-03 17:45:19
231,Saldanha,-33.0117,17.9442,55.45,83,2,5.44,ZA,2022-08-03 17:45:19
232,Rafai,4.95,23.9167,69.51,98,58,3.8,CF,2022-08-03 17:45:20
233,Bonthe,7.5264,-12.505,77.5,84,92,11.65,SL,2022-08-03 17:45:20
234,Seoul,37.5683,126.9778,80.2,89,75,6.91,KR,2022-08-03 17:45:13
235,Barrow,71.2906,-156.7887,49.87,63,100,15.64,US,2022-08-03 17:45:21
236,Vestnes,62.6264,7.0884,63.97,77,75,12.66,NO,2022-08-03 17:45:21
237,Souillac,-20.5167,57.5167,70.18,73,75,9.22,MU,2022-08-03 17:45:22
238,Roskovec,40.7375,19.7022,77.74,56,1,4.03,AL,2022-08-03 17:45:22
239,Kolomak,49.8399,35.3044,67.93,89,99,11.03,UA,2022-08-03 17:45:22
240,Lavrentiya,65.5833,-171.0,48.13,81,3,4.52,RU,2022-08-03 17:45:23
241,Jimenez,28.3333,-105.4,93.36,24,6,1.54,MX,2022-08-03 17:45:23
242,Thompson,55.7435,-97.8558,59.16,47,20,13.8,CA,2022-08-03 17:40:34
243,Srednekolymsk,67.45,153.6833,50.09,93,100,6.85,RU,2022-08-03 17:45:24
244,Tommot,58.9564,126.2925,60.69,95,75,2.86,RU,2022-08-03 17:45:25
245,Lazurne,46.084,32.5295,74.91,72,40,14.07,UA,2022-08-03 17:45:25
246,Severodvinsk,64.5635,39.8302,64.51,75,73,5.84,RU,2022-08-03 17:45:26
247,Dongsheng,39.8161,109.9776,76.53,51,8,12.91,CN,2022-08-03 17:45:26
248,Vanersborg,58.3807,12.3234,68.92,88,40,11.5,SE,2022-08-03 17:45:04
249,Thinadhoo,0.5333,72.9333,80.15,78,64,11.86,MV,2022-08-03 17:45:27
250,Ilulissat,69.2167,-51.1,53.62,62,20,4.61,GL,2022-08-03 17:45:27
251,Tazovskiy,67.4667,78.7,57.02,66,73,5.19,RU,2022-08-03 17:45:28
252,Sistranda,63.7256,8.834,60.76,85,75,13.22,NO,2022-08-03 17:45:28
253,Mae Sai,20.4335,99.8762,72.79,99,65,0.74,TH,2022-08-03 17:45:29
254,Gornopravdinsk,60.05,69.9,58.37,70,25,3.11,RU,2022-08-03 17:45:11
255,Vardo,70.3705,31.1107,51.78,93,100,4.61,NO,2022-08-03 17:45:30
256,Mezen,65.8522,44.24,58.5,71,89,6.6,RU,2022-08-03 17:45:31
257,Porto Velho,-8.7619,-63.9039,93.25,46,40,6.91,BR,2022-08-03 17:45:31
258,Umm Lajj,25.0213,37.2685,88.0,57,27,5.53,SA,2022-08-03 17:45:32
259,Camacha,33.0833,-16.3333,71.02,64,40,12.66,PT,2022-08-03 17:45:32
260,Loviisa,60.4566,26.2251,65.84,74,35,5.77,FI,2022-08-03 17:45:33
261,Sabang,5.8933,95.3214,82.06,71,100,23.62,ID,2022-08-03 17:45:33
262,Mount Pleasant,32.7941,-79.8626,95.18,64,0,8.05,US,2022-08-03 17:45:34
263,Cowansville,45.2001,-72.7491,80.92,54,93,4.61,CA,2022-08-03 17:45:35
264,Camponogara,45.385,12.0722,91.81,39,6,6.51,IT,2022-08-03 17:45:36
265,Tombouctou,20.0,-3.0,104.74,21,3,9.84,ML,2022-08-03 17:45:36
266,Koulamoutou,-1.1303,12.4736,82.47,45,21,1.43,GA,2022-08-03 17:45:37
267,Ewa Beach,21.3156,-158.0072,77.59,74,0,4.61,US,2022-08-03 17:45:37
268,Manthani,18.65,79.6667,80.22,86,100,6.29,IN,2022-08-03 17:45:38
269,Abu Samrah,35.3029,37.1841,87.03,35,0,9.84,SY,2022-08-03 17:45:38
270,Husavik,66.0449,-17.3389,45.18,97,100,16.93,IS,2022-08-03 17:45:39
271,Shakawe,-18.3667,21.85,70.41,32,13,1.74,BW,2022-08-03 17:46:40
272,Zeya,53.75,127.2667,62.11,94,99,3.47,RU,2022-08-03 17:46:40
273,Turukhansk,65.8167,87.9833,51.15,70,3,5.39,RU,2022-08-03 17:46:41
274,Zwedru,6.0667,-8.1281,77.86,78,73,3.98,LR,2022-08-03 17:46:41
275,Mutis,6.2262,-77.4044,79.47,85,98,7.61,CO,2022-08-03 17:46:42
276,Calabar,4.9517,8.322,73.87,91,70,5.64,NG,2022-08-03 17:46:43
277,Santa Cruz,-17.8,-63.1667,84.25,58,75,21.85,BO,2022-08-03 17:45:16
278,Balsta,59.5671,17.5278,72.43,79,65,12.33,SE,2022-08-03 17:43:46
279,Tilichiki,60.4667,166.1,50.29,85,15,4.74,RU,2022-08-03 17:46:44
280,Acajutla,13.5928,-89.8275,86.56,55,100,4.88,SV,2022-08-03 17:46:44
281,Wanning,18.8003,110.3967,79.57,87,100,4.45,CN,2022-08-03 17:46:45
282,Nanortalik,60.1432,-45.2371,51.26,80,100,16.91,GL,2022-08-03 17:46:45
283,Bud,39.447,-86.1758,90.91,69,2,14.0,US,2022-08-03 17:46:46
284,Nueve De Julio,-35.4444,-60.8831,64.47,50,7,9.44,AR,2022-08-03 17:46:46
285,Moen,69.1304,18.6123,65.12,59,75,6.91,NO,2022-08-03 17:46:47
